parcel_id,hemisphere,parcel,n_voxels,mean_effect,median_effect,mean_z,minimum_z,maximum_z,percent_z_ge_3.1,percent_z_le_minus_3.1,absolute_mean_effect
5,Left,"Left Inferior Frontal Gyrus, pars triangularis",2038,-0.3272284269332886,-0.3513184189796448,-0.4457855820655823,-2.638437032699585,1.997344970703125,0.0,0.0,0.3272284269332886
23,Right,"Right Lateral Occipital Cortex, inferior division",8380,0.31973376870155334,0.33311375975608826,0.46061915159225464,-2.659940242767334,3.1483805179595947,0.011933174224343675,0.0,0.31973376870155334
4,Right,Right Middle Frontal Gyrus,2652,0.3087763488292694,0.26581719517707825,0.4148607552051544,-2.656468391418457,3.0311059951782227,0.0,0.0,0.3087763488292694
47,Left,Left Supracalcarine Cortex,377,0.3013363778591156,0.27406060695648193,0.3387904167175293,-1.629573106765747,2.0004684925079346,0.0,0.0,0.3013363778591156
39,Left,Left Temporal Occipital Fusiform Cortex,2428,-0.29823175072669983,-0.2988237738609314,-0.5369736552238464,-3.2628629207611084,2.472630739212036,0.0,0.12355848434925865,0.29823175072669983
20,Left,"Left Supramarginal Gyrus, posterior division",2623,-0.2850628197193146,-0.3557412624359131,-0.6443620324134827,-4.19333553314209,2.52768874168396,0.0,5.985512771635531,0.2850628197193146
15,Right,"Right Inferior Temporal Gyrus, posterior division",244,0.27845317125320435,0.2538444995880127,0.4693443477153778,-1.9218809604644775,2.5418448448181152,0.0,0.0,0.27845317125320435
43,Left,Left Parietal Opercular Cortex,2438,-0.27464526891708374,-0.12691965699195862,-0.28413236141204834,-3.3374643325805664,2.5442557334899902,0.0,0.16406890894175555,0.27464526891708374
48,Left,Left Occipital Pole,10428,0.27203646302223206,0.18696223199367523,0.3530215919017792,-1.614274501800537,3.4830806255340576,0.06712696586114307,0.0,0.27203646302223206
35,Left,"Left Parahippocampal Gyrus, posterior division",1262,-0.2587011754512787,-0.2683618664741516,-0.44834810495376587,-2.907155752182007,1.9595770835876465,0.0,0.0,0.2587011754512787
13,Left,"Left Middle Temporal Gyrus, temporooccipital part",3329,0.25791311264038086,0.35804086923599243,0.2772095203399658,-3.112844944000244,2.8478825092315674,0.0,0.06007810153199159,0.25791311264038086
18,Right,Right Superior Parietal Lobule,17,0.2542825937271118,0.25849756598472595,0.7407211065292358,0.16005796194076538,1.2495629787445068,0.0,0.0,0.2542825937271118
15,Left,"Left Inferior Temporal Gyrus, posterior division",625,0.23409652709960938,0.13674040138721466,0.2520134150981903,-2.4447855949401855,2.644009828567505,0.0,0.0,0.23409652709960938
29,Right,"Right Cingulate Gyrus, anterior division",4605,0.23360906541347504,0.2504441738128662,0.3846902847290039,-2.830233097076416,3.0456557273864746,0.0,0.0,0.23360906541347504
34,Right,"Right Parahippocampal Gyrus, anterior division",12,0.22993351519107819,0.22303609549999237,0.3071484863758087,-0.07645365595817566,0.8271467685699463,0.0,0.0,0.22993351519107819
5,Right,"Right Inferior Frontal Gyrus, pars triangularis",1822,-0.21486510336399078,-0.07470391690731049,-0.28733351826667786,-3.2008230686187744,2.3062825202941895,0.0,0.49396267837541163,0.21486510336399078
33,Right,Right Frontal Orbital Cortex,3024,-0.21195976436138153,-0.1879318356513977,-0.35623669624328613,-3.5184433460235596,2.8764140605926514,0.0,0.26455026455026454,0.21195976436138153
12,Right,"Right Middle Temporal Gyrus, posterior division",3359,-0.20778565108776093,-0.24544896185398102,-0.17274563014507294,-3.270723342895508,3.889934778213501,1.3694551949985114,0.11908306043465318,0.20778565108776093
35,Right,"Right Parahippocampal Gyrus, posterior division",967,0.20078811049461365,0.1215350329875946,0.19703564047813416,-2.1628501415252686,3.6150906085968018,1.1375387797311272,0.0,0.20078811049461365
23,Left,"Left Lateral Occipital Cortex, inferior division",8530,-0.19970199465751648,-0.24317646026611328,-0.26877033710479736,-2.941197395324707,2.3911354541778564,0.0,0.0,0.19970199465751648
21,Left,Left Angular Gyrus,2989,-0.19708196818828583,-0.12250873446464539,-0.31624698638916016,-3.9160706996917725,3.3969225883483887,0.16728002676480427,1.7062562730010038,0.19708196818828583
24,Left,Left Intracalcarine Cortex,2665,0.19694027304649353,0.17889238893985748,0.2388775795698166,-1.5411163568496704,2.040952444076538,0.0,0.0,0.19694027304649353
28,Left,Left Paracingulate Gyrus,4459,0.19404157996177673,0.24883721768856049,0.1933889091014862,-3.257164716720581,3.502333164215088,0.13455931823278763,0.1121327651939897,0.19404157996177673
44,Right,Right Planum Polare,1563,0.19348199665546417,0.008384129963815212,0.12245362997055054,-2.0230603218078613,2.8587372303009033,0.0,0.0,0.19348199665546417
22,Right,"Right Lateral Occipital Cortex, superior division",11263,0.19075553119182587,0.15927711129188538,0.3183359205722809,-2.7326347827911377,4.04803466796875,0.6836544437538844,0.0,0.19075553119182587
33,Left,Left Frontal Orbital Cortex,4554,-0.18202577531337738,-0.1020113006234169,-0.19120749831199646,-3.8217673301696777,3.313432216644287,0.04391743522178305,0.592885375494071,0.18202577531337738
2,Left,Left Insular Cortex,4813,0.16592790186405182,0.1814952790737152,0.3011730909347534,-3.008721351623535,3.4697587490081787,0.0415541242468315,0.0,0.16592790186405182
3,Left,Left Superior Frontal Gyrus,442,0.16438785195350647,0.18686142563819885,0.06261055171489716,-2.816593647003174,2.3443171977996826,0.0,0.0,0.16438785195350647
25,Left,Left Frontal Medial Cortex,1222,-0.16143567860126495,-0.025952497497200966,-0.2371060997247696,-3.5090255737304688,1.9512073993682861,0.0,0.6546644844517185,0.16143567860126495
44,Left,Left Planum Polare,1524,-0.1584882140159607,-0.13199830055236816,-0.16941671073436737,-3.079798460006714,2.2454042434692383,0.0,0.0,0.1584882140159607
8,Right,Right Temporal Pole,728,0.15543270111083984,0.11388574540615082,0.25893497467041016,-3.3974218368530273,3.2865452766418457,0.5494505494505495,0.27472527472527475,0.15543270111083984
9,Left,"Left Superior Temporal Gyrus, anterior division",818,-0.15453559160232544,-0.1476854383945465,-0.23947834968566895,-3.7341771125793457,2.5162103176116943,0.0,0.4889975550122249,0.15453559160232544
45,Left,Left Heschl's Gyrus (includes H1 and H2),1366,-0.14941543340682983,-0.2757934331893921,-0.32286378741264343,-2.5349698066711426,2.5505948066711426,0.0,0.0,0.14941543340682983
39,Right,Right Temporal Occipital Fusiform Cortex,2480,0.10974057018756866,0.07535509020090103,0.2170913964509964,-2.220290184020996,3.2992911338806152,0.12096774193548387,0.0,0.10974057018756866
28,Right,Right Paracingulate Gyrus,4414,0.0990389734506607,0.10012345016002655,0.12469897419214249,-3.3321735858917236,3.596975803375244,0.1359311282283643,0.11327594019030357,0.0990389734506607
4,Left,Left Middle Frontal Gyrus,3114,-0.0915859192609787,-0.05702541768550873,-0.0668463334441185,-2.7721848487854004,2.8969366550445557,0.0,0.0,0.0915859192609787
19,Left,"Left Supramarginal Gyrus, anterior division",2044,0.08886026591062546,0.09997068345546722,0.0365336537361145,-2.5288217067718506,2.1984176635742188,0.0,0.0,0.08886026591062546
43,Right,Right Parietal Opercular Cortex,2341,0.08679213374853134,0.1726469248533249,0.21638697385787964,-2.8912580013275146,3.723236560821533,0.598035027765912,0.0,0.08679213374853134
16,Right,"Right Inferior Temporal Gyrus, temporooccipital part",1885,0.08315233886241913,0.05957170948386192,0.10240490734577179,-2.2873904705047607,2.1533443927764893,0.0,0.0,0.08315233886241913
7,Right,Right Precentral Gyrus,3908,0.07509545236825943,0.023968180641531944,0.1263217031955719,-3.6391961574554443,3.244508981704712,0.07676560900716478,0.3326509723643808,0.07509545236825943
38,Right,"Right Temporal Fusiform Cortex, posterior division",451,-0.07188170403242111,-0.12419195473194122,-0.08948816359043121,-2.0511627197265625,2.125436544418335,0.0,0.0,0.07188170403242111
25,Right,Right Frontal Medial Cortex,1111,-0.06574835628271103,2.489904633651994e-17,-0.09823562949895859,-2.433072566986084,2.7231791019439697,0.0,0.0,0.06574835628271103
41,Left,Left Frontal Opercular Cortex,1551,0.05280319228768349,0.0655076652765274,0.06676123291254044,-2.6573050022125244,2.2660984992980957,0.0,0.0,0.05280319228768349
